"id","code","name","account_type","reconcile","chart_template_id:id"
"l10n_et1100","1100","Sales of Goods and Services","data_account_type_revenue","",l10n_et.l10n_et
"l10n_et2102","2102","Cash at bank in foreigh currency","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2104","2104","Letter of Credit restricted account","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2201","2201","Suspense","data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2202","2202","Cash shortage","data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2203","2203","Advance to staff","data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2204","2204","Cash Registers","data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2211","2211","Trade Debtors","data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2212","2212","VAT Receivable on Purchases","data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et2213","2213","Withholding Receivable on Sales","data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et2214","2214","VAT Withholding Receivable on Sales","data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et2215","2215","Trade Debtors (PoS)","data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2251","2251","Advance to contractors","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2252","2252","Advance to consultant","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2253","2253","Advance to supplier","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2274","2254","Other Debtors","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2301","2301","Goods in Transit","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2351","2351","Stock","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2411","2411","Work in Progress","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2412","2412","Finished Goods","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2501","2501","Construction of buildings","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2503","2503","Construction of infrastructure","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2521","2521","Vehicles and other vehicular transport","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2522","2522","Aircraft, etc","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2523","2523","Plant machinery and equipment","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2525","2525","Buildings","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2527","2527","Infrastructure","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2529","2529","Furnishings and fixtures","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2530","2530","Livestock and tansport animals","data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et3001","3001","Grace period payables","data_account_type_payable","True",l10n_et.l10n_et
"l10n_et3002","3002","Trade Creditors","data_account_type_payable","True",l10n_et.l10n_et
"l10n_et3003","3003","Pension contribution payable","data_account_type_payable","True",l10n_et.l10n_et
"l10n_et3004","3004","Salary payable","data_account_type_payable","True",l10n_et.l10n_et
"l10n_et3006","3006","Witholding Payable","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et3007","3007","VAT Payable","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et3008","3008","Federal Income Tax","data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et3054","3054","Other deposits","data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et3061","3061","Retention on contract","data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et3103","3103","Commercial Loan","data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et3153","3153","Commercial Loan","data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et4001","4010","Share capital / equity","data_account_type_equity","",l10n_et.l10n_et
"l10n_et4004","4020","Reserves","data_account_type_equity","",l10n_et.l10n_et
"l10n_et5111","5111","Cost of Goods and Services","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et5901","5901","Inventory Adjustments","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et5911","5911","Purchase Returns and Allowances","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et5921","5921","Other","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6111","6111","Salaries to permanent staff","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6113","6113","Wages to contract staff","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6114","6114","Wages to casual staff","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6115","6115","Wages to external contract staff","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6116","6116","Miscellaneous payments to staff","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6121","6121","Allowances to permanent staff","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6123","6123","Allowances to contract staff","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6124","6124","Allowances to external contract staff","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6131","6131","Contribution to permanent staff pensions","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6211","6211","Uniforms, bedding","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6212","6212","Office supplies","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6213","6213","Printing","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6214","6214","Medical supplies","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6215","6215","Educational supplies","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6216","6216","Food","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6217","6217","Fuel and lubricants","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6218","6218","Other material and supplies","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6219","6219","Miscellaneous equipment","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6221","6221","Agriculture, forestry and marine inputs","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6222","6222","Veterinary supplies and drugs","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6223","6223","Research and development supplies","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6231","6231","Per diem","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6232","6232","Transport fees","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6233","6233","Official entertainment","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6241","6241","Maintenance and repair of vehicles and other transport","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6243","6243","Maintenance and repair of plant, and equipment","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6244","6244","Maintenance and repair of buildings, furnishings and fixtures","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6245","6245","Maintenance and repair of infrastructure","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6251","6251","Contracted professional services","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6252","6252","Rent","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6253","6253","Advertising","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6254","6254","Insurance","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6255","6255","Freight","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6256","6256","Fees and charges","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6257","6257","Electricity charges","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6258","6258","Telecommunication charges","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6259","6259","Water and other utilities","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6271","6271","Local training","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6272","6272","External training","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6311","6311","Depreciation of vehicles and other vehicular transport","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6313","6313","Depreciation of plant, machinery and equipment","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6314","6314","Depreciation of buildings, furnishings and fixtures","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6315","6315","Depreciation of livestock and transport animals","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6321","6321","Pre-construction activities","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6322","6322","Construction of buildings","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6324","6324","Construction of infrastructure","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6431","6431","Payments on the principal of foreign debt","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6432","6432","Payments of interest and bank charges on foreign debt","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6433","6433","Payments on the principal of local debt","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6434","6434","Payments of interest and bank charges on local debt","data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6435","1200","Foreign Exchange Currency Gain Account","data_account_type_other_income","",l10n_et.l10n_et
"l10n_et6436","6260","Foreign Exchange Currency Loss Account","data_account_type_expenses","",l10n_et.l10n_et
